x_cm,y_cm,z_cm,is_manual
0.0,2.6740286350250244,0.0,False
0.0,2.710585355758667,0.0,False
0.0,2.7426300048828125,0.0,False
0.0,2.7752907276153564,0.0,False
0.0,2.8081886768341064,0.0,False
0.0,2.836313486099243,0.0,False
0.0,2.8658759593963623,0.0,False
0.0,2.8973634243011475,0.0,False
0.0,2.932922601699829,0.0,False
0.0,2.965019941329956,0.0,False
0.0,2.994112730026245,0.0,False
0.0,3.0238373279571533,0.0,False
0.0,3.052074909210205,0.0,False
0.0,3.0855045318603516,0.0,False
0.0,3.1142280101776123,0.0,False
0.0,3.147109270095825,0.0,False
0.0,3.1751537322998047,0.0,False
0.0,3.212930679321289,0.0,False
0.0,3.247232437133789,0.0,False
0.0,3.2793920040130615,0.0,False
0.0,3.311457872390747,0.0,False
0.0,3.311457872390747,0.0,False
0.0,3.311457872390747,0.0,False
0.0,3.311457872390747,0.0,False
0.0,3.354904890060425,0.0,False
0.0,3.390523910522461,0.0,False
0.0,3.418635129928589,0.0,False
0.0,3.4494423866271973,0.0,False
0.0,3.48036789894104,0.0,False
0.0,3.507948875427246,0.0,False
0.0,3.541663646697998,0.0,False
0.0,3.570374011993408,0.0,False
0.0,3.6001906394958496,0.0,False
0.0,3.638429641723633,0.0,False
0.0,3.667349100112915,0.0,False
0.0,3.699948310852051,0.0,False
0.0,3.7312145233154297,0.0,False
0.0,3.7599241733551025,0.0,False
0.0,3.792055606842041,0.0,False
0.0,3.82861590385437,0.0,False
0.0,3.8741261959075928,0.0,False
0.0,3.90270733833313,0.0,False
0.0,3.9312400817871094,0.0,False
0.0,3.9312400817871094,0.0,False
0.0,3.9312400817871094,0.7619731426239014,False
-0.8080885410308838,3.9312400817871094,1.5700616836547852,False
-1.575587511062622,3.9312400817871094,3.1050596237182617,False
-1.6619625091552734,3.9312400817871094,3.2778096199035645,False
-1.741657018661499,3.9312400817871094,3.4371986389160156,False
-1.8202900886535645,3.9312400817871094,3.5944647789001465,False
-1.897367000579834,3.9312400817871094,3.7486186027526855,False
-1.9459295272827148,3.9312400817871094,3.8457436561584473,False
-1.9459295272827148,3.9312400817871094,3.87980318069458,False
-1.9459295272827148,3.9312400817871094,3.917872905731201,False
-1.9459295272827148,3.9312400817871094,3.9622254371643066,False
-1.9459295272827148,3.9312400817871094,3.9622254371643066,False
-1.9459295272827148,3.9312400817871094,3.2012202739715576,False
-1.9459295272827148,3.9312400817871094,3.2012202739715576,False
-1.9459295272827148,3.9312400817871094,3.746183156967163,False
-2.6234378814697266,3.9312400817871094,4.423691511154175,False
-3.365086078643799,3.9312400817871094,5.906987905502319,False
-4.146672964096069,3.9312400817871094,7.47016167640686,False
-4.891809940338135,3.9312400817871094,8.960435628890991,False
-5.489637613296509,3.9312400817871094,10.15609097480774,False
-6.292998552322388,3.9312400817871094,11.762812852859497,False
-7.238786220550537,3.9312400817871094,13.654388189315796,False
-7.979429006576538,3.9312400817871094,15.135673761367798,True
-7.983434438705444,3.9312400817871094,15.14368462562561,False
-7.107559442520142,3.9312400817871094,16.895434617996216,False
-7.071472406387329,3.9312400817871094,16.96760869026184,False
-7.035904169082642,3.9312400817871094,17.038745164871216,False
-6.969667673110962,3.9312400817871094,17.104981660842896,False
-6.880389928817749,3.9312400817871094,17.19425940513611,False
-6.813221216201782,3.9312400817871094,17.261428117752075,False
-6.735024690628052,3.9312400817871094,17.339624643325806,False
-6.65876841545105,3.9312400817871094,17.415880918502808,False
-6.591631174087524,3.9312400817871094,17.483018159866333,False
